"WeatherStationID"|"AirportID"|"GroundHeight"|"StationHeight"|"BarometerHeight"|"Latitude"|"Longitude"|"TimeZone"
3011|"TEX"|0|0|0|37.57|-107.55|"+7"
3012|"SKX"|0|0|0|36.28|-105.4|"+7"
3013|"LAA"|3683|3703|3675|38.04|-102.41|"+7"
3014|"4SL"|0|6909|0|35.47|-107.14|"+7"
3016|"RIL"|5503|5544|5506|39.32|-107.44|"+7"
3017|"DEN"|5379|5431|5382|39.5|-104.4|"+7"
3024|"BGD"|3038|3054|3041|35.42|-101.23|"+6"
3026|"ITR"|4195|4217|4198|39.14|-102.17|"+7"
3027|"CQC"|7089|7086|7092|35|-105.4|"+7"
3028|"SPD"|4383|4380|4386|37.17|-102.37|"+7"
3029|"RQE"|6742|6739|6745|35.4|-109.04|"+7"
3030|"GUY"|3115|3112|3118|36.41|-101.31|"+6"
3031|"ODO"|2959|3001|2962|31.55|-102.23|"+6"
3032|"6R6"|2304|2301|2307|30.03|-102.13|"+6"
3034|"AEG"|0|0|0|35.09|-106.48|"+7"
3035|"ATS"|0|0|0|32.51|-104.28|"+7"
3036|"BDG"|0|5865|0|37.35|-109.29|"+7"
3037|"CBK"|0|0|0|39.26|-101.03|"+7"
3038|"CCU"|0|0|0|39.28|-106.09|"+7"
3039|"CPW"|0|0|0|37.27|-106.48|"+7"
3040|"MNH"|0|0|0|39.13|-104.38|"+7"
3041|"MYP"|0|0|0|38.29|-106.19|"+7"
3042|"VTP"|0|0|0|37.3|-105.1|"+7"
3043|"ADT"|0|2991|0|39.5|-101.02|"+6"
3044|"BPG"|0|2573|0|32.19|-101.31|"+6"
3045|"PYX"|0|2918|0|36.25|-100.45|"+6"
3049|"E38"|0|4315|0|30.23|-103.41|"+6"
3050|"SNK"|0|2430|0|32.41|-100.57|"+6"
3051|"3K7"|0|3303|0|38.28|-101.21|"+7"
3052|"PPA"|0|3245|0|35.37|-101|"+6"
3053|"5T6"|0|4112|0|31.53|-106.42|"+7"
3056|"31F"|0|3315|0|32.41|-102.39|"+6"
3058|"PEQ"|0|2613|0|31.23|-103.31|"+6"
3059|"E29"|0|2140|0|30.35|-100.39|"+6"
3065|"BJC"|0|5670|0|39.55|-105.07|"+7"
3101|"SOW"|0|6415|0|34.16|-110.01|"+7"
3102|"ONT"|901|905|904|34.04|-117.36|"+8"
3103|"FLG"|7000|7018|7003|35.08|-111.4|"+7"
3104|"TRM"|-119|-117|-116|33.38|-116.1|"+8"
3124|"FHU"|0|4719|0|31.35|-110.2|"+7"
3131|"MYF"|446|423|449|32.49|-117.08|"+8"
3144|"IPL"|-56|-56|-56|32.5|-115.35|"+8"
3145|"NYL"|213|213|214|32.39|-114.37|"+8"
3148|"GBN"|0|858|0|32.53|-112.43|"+7"
3154|"NFG"|660|78|71|33.18|-117.21|"+8"
3159|"WJF"|2368|2339|2371|34.44|-118.13|"+8"
3160|"DRA"|3299|3310|3302|36.37|-116.02|"+8"
3162|"PGA"|4289|4310|4292|36.56|-111.27|"+7"
3163|"P38"|4372|4373|4375|37.37|-114.32|"+8"
3164|"CZZ"|2612|2615|2615|32.37|-116.28|"+8"
3165|"EMT"|0|296|0|34.05|-118.02|"+8"
3166|"FUL"|117|96|120|33.52|-117.59|"+8"
3167|"HHR"|59|63|62|33.55|-118.2|"+8"
3170|"P68"|5939|5936|5942|39.36|-116.01|"+8"
3171|"RAL"|826|831|829|33.57|-117.26|"+8"
3174|"TOA"|0|103|0|33.48|-118.2|"+8"
3177|"CRQ"|326|328|329|33.08|-117.17|"+8"
3178|"SDM"|540|524|543|32.34|-116.59|"+8"
3179|"CNO"|679|681|682|33.59|-117.38|"+8"
3180|"POC"|0|1011|0|34.05|-117.47|"+8"
3181|"MMH"|0|7128|0|37.28|-118.5|"+8"
3183|"MHV"|0|2791|0|35.04|-118.09|"+8"
3184|"DVT"|1455|1476|1458|33.41|-112.05|"+7"
3185|"FFZ"|0|1394|0|33.28|-111.44|"+7"
3192|"SDL"|1473|1510|1469|33.37|-111.55|"+7"
3195|"GCN"|6643|6606|6646|35.57|-112.09|"+7"
3196|"OLS"|3884|3932|3887|31.25|-110.51|"+7"
3701|"CPK"|0|0|0|36.4|-76.19|"+5"
3702|"DPL"|0|0|0|35|-77.59|"+5"
3703|"EDE"|0|0|0|36.02|-76.34|"+5"
3704|"EMV"|0|0|0|36.41|-77.29|"+5"
3705|"EYF"|0|0|0|34.36|-78.35|"+5"
3706|"EZF"|0|0|0|38.16|-77.27|"+5"
3707|"FVX"|0|0|0|37.22|-78.26|"+5"
3708|"GWW"|0|0|0|35.28|-77.58|"+5"
3709|"HBI"|0|0|0|35.39|-79.54|"+5"
3710|"HEF"|0|0|0|38.43|-77.31|"+5"
3711|"HNZ"|0|0|0|36.22|-78.32|"+5"
3712|"HRJ"|0|0|0|35.23|-78.44|"+5"
3713|"JNX"|0|0|0|35.32|-78.23|"+5"
3714|"JYO"|0|0|0|39.05|-77.34|"+5"
3715|"LKU"|0|0|0|38.01|-77.58|"+5"
3716|"MFV"|0|0|0|37.39|-75.46|"+5"
3717|"OKV"|0|0|0|39.08|-78.08|"+5"
3718|"OMH"|0|0|0|38.15|-78.03|"+5"
3719|"SFQ"|0|0|0|36.41|-76.36|"+5"
3720|"SOP"|0|0|0|35.14|-79.23|"+5"
3721|"SUT"|0|0|0|33.56|-78.04|"+5"
3722|"TDF"|0|0|0|36.17|-78.59|"+5"
3723|"TTA"|0|0|0|35.35|-79.06|"+5"
3725|"W99"|0|960|0|38.59|-79.08|"+5"
3726|"WWD"|0|0|0|39.01|-74.55|"+5"
3727|"CTZ"|0|0|0|34.59|-78.22|"+5"
3730|"JGG"|0|49|0|37.14|-76.43|"+5"
3731|"LHZ"|0|369|0|36.01|-78.2|"+5"
3734|"FYJ"|0|24|0|37.31|-76.46|"+5"
3735|"RMN"|0|212|0|38.24|-77.28|"+5"
3736|"FFA"|0|13|0|36.01|-75.4|"+5"
3737|"9W7"|0|16|0|36.24|-76.01|"+5"
3738|"45J"|0|358|0|34.53|-79.46|"+5"
3741|"OCW"|0|38|0|35.34|-77.03|"+5"
3742|"UDG"|0|192|0|34.28|-79.53|"+5"
3802|"CKB"|1182|1203|1185|39.18|-80.14|"+5"
3804|"PKB"|863|864|866|39.21|-81.26|"+5"
3809|"DYR"|0|338|0|36.01|-89.19|"+6"
3810|"HKY"|1161|1188|1164|35.44|-81.23|"+5"
3811|"MKL"|420|422|423|35.35|-88.55|"+6"
